Date,Weekly Mean Price,Weekly Max Price
2021-08-31,67.95142857142858,69.28
2021-09-01,68.37714285714286,69.28
2021-09-02,68.74428571428572,70.07
2021-09-03,68.85857142857142,70.07
2021-09-07,69.01142857142858,70.07
2021-09-08,69.08571428571429,70.07
2021-09-09,68.94000000000001,70.07
2021-09-10,69.13857142857142,70.07
2021-09-13,69.41142857142857,70.54
2021-09-14,69.47714285714287,70.54
2021-09-15,69.94142857142857,72.59
2021-09-16,70.54142857142857,72.69
2021-09-17,70.93142857142857,72.69
2021-09-20,71.23857142857142,72.69
2021-09-21,71.33714285714287,72.69
2021-09-22,71.59857142857142,72.69
2021-09-23,72.01285714285714,73.43
2021-09-24,72.24,74.18
2021-09-27,72.64714285714287,75.54
2021-09-28,73.1257142857143,75.54
2021-09-29,73.78999999999999,75.54
2021-09-30,74.46285714285715,75.54
2021-10-01,74.98285714285714,76.01
2021-10-04,75.59000000000002,77.68
2021-10-05,76.30285714285715,79.17
2021-10-06,76.60571428571428,79.17
2021-10-07,77.03714285714287,79.17
2021-10-08,77.67857142857143,79.55
2021-10-11,78.45285714285714,80.64
2021-10-12,79.13000000000001,80.75
2021-10-13,79.55714285714285,80.75
2021-10-14,79.88000000000001,81.43
2021-10-15,80.55571428571429,82.39
2021-10-18,81.14999999999999,82.62
2021-10-19,81.67,83.19
2021-10-20,82.20714285714287,84.4
2021-10-21,82.47714285714287,84.4
2021-10-22,83.02857142857142,84.53
2021-10-25,83.48714285714286,84.64
2021-10-26,83.95142857142856,85.64
2021-10-27,83.95714285714284,85.64
2021-10-28,83.89857142857143,85.64
2021-10-29,83.77,85.64
2021-11-01,83.97571428571429,85.64
2021-11-02,83.88714285714286,85.64
2021-11-03,83.34142857142858,85.64
2021-11-04,82.37571428571427,84.08
2021-11-05,82.17428571428572,84.08
2021-11-08,82.05714285714285,84.08
2021-11-09,82.14571428571428,84.12
2021-11-10,81.73857142857142,84.12
2021-11-11,81.39,84.12
2021-11-12,81.39714285714285,84.12
2021-11-15,81.67857142857143,84.12
2021-11-16,81.60857142857142,84.12
2021-11-17,81.08857142857144,84.12
2021-11-18,80.34571428571428,81.47
2021-11-19,79.61428571428571,81.47
2021-11-22,78.93857142857144,80.87
2021-11-23,78.57428571428571,80.85
2021-11-24,78.21285714285715,80.76
2021-11-29,76.65857142857143,78.92
2021-11-30,74.91857142857143,78.92
2021-12-01,72.99285714285715,78.32
2021-12-02,71.63428571428571,78.32
2021-12-03,70.15571428571427,78.32
2021-12-06,68.91285714285713,78.32
2021-12-07,68.00142857142856,71.94
2021-12-08,68.36571428571429,72.43
2021-12-09,69.04142857142857,72.43
2021-12-10,69.93714285714286,72.43
2021-12-13,70.59285714285714,72.43
2021-12-14,71.19,72.43
2021-12-15,71.37142857142857,72.43
2021-12-16,71.42857142857143,72.43
2021-12-17,71.21428571428571,72.34
2021-12-20,70.90285714285713,72.34
2021-12-21,70.8157142857143,72.34
2021-12-22,71.04857142857142,72.82
2021-12-23,71.52285714285715,73.89
2021-12-27,72.17999999999999,75.49
2021-12-28,72.7042857142857,76.01
2021-12-29,73.51142857142858,76.58
2021-12-30,74.67428571428572,76.83
2021-12-31,75.27857142857142,76.83
2022-01-03,75.73142857142855,76.83
2022-01-04,76.17571428571429,77.0
2022-01-05,76.51,77.83
2022-01-06,77.00428571428571,79.47
2022-01-07,77.35,79.47
2022-01-10,77.53285714285714,79.47
2022-01-11,78.36714285714285,81.17
2022-01-12,79.29857142857144,82.51
2022-01-13,80.00857142857144,82.51
2022-01-14,80.86428571428571,83.82
2022-01-18,81.71428571428571,85.42
2022-01-19,82.83428571428571,86.84
2022-01-20,84.00285714285714,86.84
